# XLPS2-Alpha 控制器 BOM（样机成本，单价单位：人民币元）
# 对应 sch/symbols.csv 与 docs/03_bom.md；8 文档交叉核对须一致。
# 目标量级：¥506.39/台（治理文档）；本 BOM 合计 ¥504.62，差异 <0.4%（量价/取整波动）。
Item,Ref,MPN,Package,Qty,UnitPrice_CNY,Subtotal_CNY,Note
1,U1,STM32H743IIT6,LQFP176,1,195.00,195.00,MCU 主芯片
2,U30,URB2424P-30WR3,DIP隔离,1,42.00,42.00,系统级隔离 DC-DC（金升阳，≥1.5kV）
3,U31,TPS26600PW,TSSOP16,1,18.00,18.00,eFuse 可复位 OCP/SCP（含反向输入保护）
4,U33,TPS54331,SOP8,1,4.50,4.50,Buck 24→5V/3A
5,U34,AMS1117-3.3,SOT223,1,0.80,0.80,LDO 5→3.3V
6,Q10,AO3401A,SOT23,1,0.45,0.45,防反接 P-MOS
7,L30,CMC 10uH/3A,CMC,1,3.80,3.80,共模/π 滤波
8,F1,PPTC 2A,1812,1,0.90,0.90,自恢复保险
9,D31,BZT52C12,SOD123,1,0.12,0.12,栅极 12V 钳位
10,D30,SMBJ24A,SMA,1,0.60,0.60,输入 TVS
11,Y1,25MHz,XTAL_2520,1,0.90,0.90,HSE
12,Y2,32.768kHz,XTAL_3215,1,0.35,0.35,LSE
13,U2,ISO1042,SOIC16,2,22.00,44.00,隔离 CAN-FD ×2（D_00/D_01）
14,U3,ADM2483,SOIC16,2,16.00,32.00,隔离 RS485 ×2（激光/网关）
15,U40/U41,B0505S,SIP4,4,3.20,12.80,隔离 5V（总线侧）×4
16,U4,LAN8742A,QFN24,1,7.50,7.50,ETH PHY
17,J14,HR911105A,RJ45_mag,1,4.80,4.80,带磁芯 RJ45（1500V 隔离）
18,J1,5.08 端子 2P,Terminal,1,1.60,1.60,24V 输入
19,J13,2x10 2.54,Header,1,1.30,1.30,扩展排针
20,J2/J3,M12-4,Conn,2,2.20,4.40,隔离 CAN 连接器 ×2
21,J4/J5,M12-4,Conn,2,2.20,4.40,隔离 RS485 连接器 ×2
22,U5,WS63,Module,1,45.00,45.00,WiFi/星闪/BLE 无线模组
23,U6,FM24CL64,SOIC8,1,6.50,6.50,FRAM 干扰点库（I2C）
24,U7,24C64,SOIC8,1,0.90,0.90,EEPROM 标定/密钥
25,D_CAN/D_RS,SM712,SOT23-6,4,0.70,2.80,总线 TVS ×4
26,U8,IMP811T,SOT143,1,1.20,1.20,复位监控
27,LED1-5,0603,LED,5,0.06,0.30,状态指示
28,BUZ1,5V 有源,SMD,1,1.20,1.20,蜂鸣器
29,U9/Q11,TLP281/AO3400,SOP4/SOT23,2,2.50,5.00,安全心跳光耦+使能 FET ×2(套)
30,K1,安全继电器/SSR,Power_Relay,1,9.00,9.00,伺服使能直切
31,BT1,CR1220 Holder,Holder,1,1.60,1.60,RTC 备份电池
32,J6,SWD 1.27 5P,Conn,1,0.90,0.90,调试接口
33,无,被动套件,Cap/Res,1,30.00,30.00,退耦/分压/负载/磁珠等
34,无,结构/辅材,Misc,1,14.00,14.00,测试点/支柱/EMI 磁珠/ESD 辅材
35,无,PCB 2层 100x80,PCB,1,6.00,6.00,2层 ENIG 1.6mm（5pcs 摊销）
# 主理人 #3 标注（降本阶段候选，M4后评估）：总线级隔离成本=ISO1042×2(44)+ADM2483×2(32)+B0505S×4(12.8)=¥88.80（裁定保留双隔离边界）
# 主理人 #4 标注（空间紧张时可裁剪项）：RJ45 ETH(LAN8742A+HR911105A=¥12.30) 裁定保留，布局拥挤时可裁剪
,TOTAL,,,,,,504.62,与 ¥506.39 目标量级一致（差异 0.35%）
