# XLPS2-Alpha 控制器 — STM32H743IIT6 引脚分配表（LQFP176）
# 列: 外设,信号,引脚,AF,域,连接,备注
# ⚠️ AF 编号为设计初值，投板前须用 STM32CubeMX 终校（避免 AF 冲突）；本表已做一致性初排。
外设,信号,引脚,AF,域,连接,备注
# ---- 电源/地/时钟/复位/Boot ----
PWR,VDD/VSS,多引脚,,3.3V/0,板上多对,每对 VDD/VSS 旁 100nF
PWR,VCAP_1/2,VCAP_1/2,,1.8V,2.2uF×2,内核稳压，不可省
PWR,VDDA/VSSA,20/17,,3.3V/0,磁珠取自3V3,VREF+ 接 3.3V
PWR,VBAT,Pin,,3.0V,BT1+二极管,RTC 备份
RCC,OSC_IN/OUT,PH0/PH1,AF0,3.3V,Y1 25MHz,HSE
RCC,OSC32_IN/OUT,PC14/PC15,AF0,3.3V,Y2 32.768k,LSE
NRST,NRST,Pin15,,3.3V,U8+SW1,复位
BOOT,BOOT0,PH3,,3.3V,10k 下拉,默认 Flash 启动
# ---- 调试 SWD ----
SYS,SWDIO/TCK,PA13/PA14,AF0,SWD,J6,SWD 调试
# ---- 隔离 CAN-FD（伺服 D_00/D_01）----
FDCAN1,TX/RX,PA12/PA11,AF9,3.3V,U2A(ISO1042),行走伺服 D_00
FDCAN2,TX/RX,PB13/PB12,AF9,3.3V,U2B(ISO1042),顶升伺服 D_01
# ---- 隔离 RS485（Modbus RTU）----
USART3,TX/RX/DE,PB10/PB11/PB14,AF7,3.3V,U3A(ADM2483),激光/传感器（ADR-004 FC=0x10@0x2000）
USART6,TX/RX/DE,PC6/PC7/PG8,AF7,3.3V,U3B(ADM2483),HMI 网关
# ---- 以太网 RMII（LAN8742A）----
ETH,MDC/MDIO,PC1/PA2,AF11,3.3V,U4,管理
ETH,REF_CLK/CRS_DV,PA1/PA7,AF11,3.3V,U4,来自 PHY 50MHz
ETH,RXD0/RXD1,PC4/PC5,AF11,3.3V,U4,
ETH,TX_EN/TXD0/TXD1,PG11/PG13/PG12,AF11,3.3V,U4,
ETH,PHY_RST/PHY_INT,PC0/PI2,GPIO_OUT/IN,3.3V,U4,复位/中断
# ---- 无线 WS63（SDIO + UART4 AT）----
SDMMC1,CK/CMD/D0-D3,PC12/PD2/PC8-11,AF12,3.3V,U5,高速数传
UART4,TX/RX,PA0/PI9,AF8,3.3V,U5,AT 指令
GPIO,WS63_READY/nRST,PG6/PG7,GPIO,3.3V,U5,就绪/复位
# #5 WS63 SDIO+UART4 保留；引脚 AF 由 M2(CFW) CubeMX 终校（见 ehw.md §10）
# ---- 外部存储 I2C1（FRAM/EEPROM）----
I2C1,SCL/SDA,PB6/PB7,AF4,3.3V,U6/U7,4.7k 上拉
# ---- 调试控制台 USART1（预留）----
USART1,TX/RX,PA9/PA10,AF7,3.3V,J13/排针,控制台（不与 ETH/RS485 冲突）
# ---- 安全回路（HSM region=2）----
GPIO,SAFE_HEARTBEAT,PB2,GPIO_OUT,3.3V,U9→Q11→K1,安全心跳使能
GPIO,ESTOP_IN/EDGE_IN,PC2/PC13,GPIO_IN(EXTI),3.3V,光耦隔离,急停/触边（fail-safe NC）
GPIO,SAFE_STATE,PC3,GPIO_IN,3.3V,K1 反馈,动力已切确认
# ---- eFuse 状态 ----
GPIO,FLT/PGOOD,PB0/PB1,GPIO_IN(EXTI),3.3V,U31 FLTb/PGOODb,故障/电源好
# ---- 指示/ADC ----
GPIO,LED1-5,PE0-PE4,GPIO_OUT,3.3V,状态 LED,
ADC,ADC1_INx,PC2/PC3(复用为数字),ADC,3.3V,可扩展模拟量,
TIM,TIMx_PWM,PE5-PE6(示例),AF,3.3V,蜂鸣器/调光,具体 AF 由 CubeMX 定
