# XLPS2-Alpha 控制器 — 信号网表（Net → 器件:引脚）
# 格式: Net,Component,Pin,Function
# 说明: 覆盖电源链/最小系统/接口/安全的关键网; 完整网表于投板时由 EDA 导出并与本表核对。
Net,Component,Pin,Function
# ---- 初级电源域 (U30 前, NET_GND_IN) ----
NET_24V_IN,J1,1,+24V 输入
NET_24V_IN,D30,1,TVS SMBJ24A 一端(钳浪涌)
NET_24V_IN,L30,1,共模电感输入
NET_GND_IN,J1,2,24V 返回/地
NET_GND_IN,D30,2,TVS 另一端
NET_GND_IN,L30,2,共模电感返回
NET_24V_IN,Q10,S,P-MOS 源(输入侧)
NET_GND_IN,Q10,G,经 R11 上拉 + D31 钳位到 GND_IN
NET_24V_PROT,Q10,D,P-MOS 漏(输出至 F1)
NET_24V_PROT,F1,1,PPTC 输入
NET_24V_EF,F1,2,PPTC 输出 → U31 IN
NET_24V_EF,U31,IN,eFuse 输入
NET_GND_IN,U31,RTN,eFuse 返回
NET_24V_ISO,U31,OUT,eFuse 输出 → U30 初级+
NET_24V_ISO,U30,VIN+,隔离 DC-DC 初级+
NET_GND_IN,U30,VIN-,隔离 DC-DC 初级-
NET_24V_ISO,U31,ILIM,经 R_ILIM(6.04k) 到 RTN
NET_24V_ISO,U31,MODE,经 402k 到 RTN(自动重试)
NET_3V3,U31,FLTb,上拉 → MCU PB0(故障)
NET_3V3,U31,PGOODb,上拉 → MCU PB1(电源好)
# ---- 次级隔离域 (U30 后, NET_GND) ----
NET_24V_BOARD,U30,VOUT+,隔离输出+
NET_GND,U30,VOUT-,隔离输出-(浮空地)
NET_24V_BOARD,U33,IN,Buck 24→5V 输入
NET_GND,U33,GND,Buck 返回
NET_5V,U33,SW,开关节点 → L33 → 输出
NET_5V,U34,IN,LDO 输入
NET_3V3,U34,OUT,LDO 输出(主逻辑电源)
NET_GND,U34,GND,LDO 返回
NET_24V_BOARD,F7,1,LED/蜂鸣器/传感器 24V 抽头
NET_24V_BOARD,K1,COIL+,安全继电器线圈+
NET_GND,K1,COIL-,安全继电器线圈-
# ---- MCU 电源/地 ----
NET_3V3,U1,VDD,多引脚(每对 VDD/VSS 旁 100nF)
NET_GND,U1,VSS,多引脚
NET_3V3,U1,VDDA,模拟电源(磁珠取自 3V3)
NET_3V3,U1,VREF+,参考正极(100nF)
NET_GND,U1,VSSA,模拟地
NET_GND,U1,VCAP_1,2.2uF 到 GND(内核 1.8V)
NET_GND,U1,VCAP_2,2.2uF 到 GND(内核 1.8V)
NET_3V3,U1,VBAT,经肖特基自 3V3 与 BT1 切换
# ---- 时钟/复位/Boot ----
NET_24V_IN?NONE,U1,PH0,OSC_IN 25MHz
NET_24V_IN?NONE,U1,PH1,OSC_OUT 25MHz
NET_GND,U1,PC14,OSC32_IN 32.768k
NET_GND,U1,PC15,OSC32_OUT 32.768k
NET_3V3,U1,NRST,复位(10k 上拉+100nF); U8 推挽
NET_GND,U1,PH3,BOOT0(10k 下拉,默认 Flash 启动)
# ---- SWD ----
NET_3V3,J6,1,VCC(调试)
NET_GND,J6,5,GND
NET_3V3,U1,PA13,SWDIO
NET_3V3,U1,PA14,SWCLK
# ---- 隔离 CAN-FD ----
NET_3V3,U1,PA11,FDCAN1_RX → U2A
NET_3V3,U1,PA12,FDCAN1_TX → U2A
NET_3V3,U1,PB12,FDCAN2_RX → U2B
NET_3V3,U1,PB13,FDCAN2_TX → U2B
NET_5V,U40,VIN,B0505S#1 输入(逻辑侧 5V)
NET_GND,U40,VIN-,B0505S#1 返回
NET_5V_ISO,U40,VO+,B0505S#1 隔离输出→U2A VCC2
NET_GND_ISO,U40,VO-,B0505S#1 隔离地
NET_5V_ISO,U2A,VCC2,ISO1042#1 总线侧电源
NET_GND_ISO,U2A,GND2,ISO1042#1 总线侧地
CAN1H,J2,1,隔离 CAN 总线 H(终端120R)
CAN1L,J2,2,隔离 CAN 总线 L
NET_5V_ISO,U41,VO+,B0505S#2 → U2B VCC2
NET_GND_ISO,U41,VO-,B0505S#2 隔离地
CAN2H,J3,1,隔离 CAN 总线 H
CAN2L,J3,2,隔离 CAN 总线 L
# ---- 隔离 RS485 ----
NET_3V3,U1,PB10,USART3_TX → U3A
NET_3V3,U1,PB11,USART3_RX → U3A
NET_3V3,U1,PB14,DE(方向) → U3A
NET_3V3,U1,PC6,USART6_TX → U3B
NET_3V3,U1,PC7,USART6_RX → U3B
NET_3V3,U1,PG8,DE → U3B
NET_5V_ISO,U42,VO+,B0505S#3 → U3A VCC2
NET_5V_ISO,U43,VO+,B0505S#4 → U3B VCC2
RS485_1A,J4,1,Modbus A(激光/传感器)
RS485_1B,J4,2,Modbus B
RS485_2A,J5,1,Modbus A(HMI 网关)
RS485_2B,J5,2,Modbus B
# ---- 以太网 RMII ----
NET_3V3,U1,PC1,ETH_MDC → U4
NET_3V3,U1,PA2,ETH_MDIO → U4
NET_3V3,U1,PA1,RMII_REF_CLK(来自 U4 50MHz)
NET_3V3,U1,PA7,RMII_CRS_DV
NET_3V3,U1,PC4,RMII_RXD0
NET_3V3,U1,PC5,RMII_RXD1
NET_3V3,U1,PG11,RMII_TX_EN
NET_3V3,U1,PG12,RMII_TXD1
NET_3V3,U1,PG13,RMII_TXD0
NET_3V3,U1,PC0,PHY_RST → U4 nRST
NET_3V3,U1,PI2,PHY_INT ← U4 nINT
NET_5V,U4,VCC,LAN8742A 电源(磁珠取自 5V)
NET_GND,U4,GND,PHY 地
# ---- 无线 WS63 ----
NET_3V3,U1,PC12,SDMMC1_CK → U5
NET_3V3,U1,PD2,SDMMC1_CMD → U5
NET_3V3,U1,PC8,SDMMC1_D0 → U5
NET_3V3,U1,PC9,SDMMC1_D1 → U5
NET_3V3,U1,PC10,SDMMC1_D2 → U5
NET_3V3,U1,PC11,SDMMC1_D3 → U5
NET_3V3,U1,PA0,UART4_TX(AT) → U5
NET_3V3,U1,PI9,UART4_RX(AT) ← U5
NET_3V3,U1,PG6,WS63 READY
NET_3V3,U1,PG7,WS63 nRST
# ---- 外部存储 I2C1 ----
NET_3V3,U1,PB6,I2C1_SCL → U6/U7(4.7k 上拉)
NET_3V3,U1,PB7,I2C1_SDA → U6/U7
# ---- 安全回路 ----
NET_3V3,U1,PB2,安全心跳输出 → U9 输入
NET_GND,U9,OUT,光耦输出 → Q11 栅
NET_24V_BOARD,Q11,D,使能 FET 漏 → K1 线圈+
NET_3V3,U1,PC2,ESTOP_IN(光耦隔离输入)
NET_3V3,U1,PC13,EDGE_IN(光耦隔离输入)
NET_3V3,U1,PC3,SAFE_STATE(K1 反馈)
# ---- 指示 ----
NET_3V3,U1,PE0..PE4,状态 LED1..5(经 1k 限流)
NET_24V_BOARD,BUZ1,1,蜂鸣器+(驱动三极管)
