# XLPS2-Alpha 控制器 — 器件/符号索引（与 bom/bom.csv 对应）
# 格式: Ref,Type,MPN,Package,Key_Params,Page
Ref,Type,MPN,Package,Key_Params,Page
J1,CONN_2PIN,5.08mm 端子,Screw_Terminal_5.08_2P,24V/3A 锁扣,power
D30,TVS,SMBJ24A,SMA,24V 双向,power
L30,CMC,10uH/3A,CMC_10uH_3A,共模滤波,power
Q10,P-MOS,AO3401A,SOT23,-30V/-4A Vgs±12V,power
D31,ZENER,BZT52C12,SOD123,12V 钳 Vgs,power
R10,R,10k,0603,栅极限流,power
R11,R,100k,0603,栅极上拉,power
F1,PPTC,2A 自恢复,1812,保持2A 跳闸~4A,power
U31,EFUSE,TPS26600PW,TSSOP16,60V/2A 可复位,power
R_ILIM,R,6.04k 1%,0603,I_LIM≈1.95A(更正 24k→6.04k),power
R_MODE,R,402k,0603,MODE→RTN 自动重试,power
C31,C,22uF,X7R_1206,eFuse 输出,power
U30,ISO_DCDC,URB2424P-30WR3,DIP/DIP-隔离,24→24V 30W ≥1.5kV,power
C30,C,22uF,X7R_1210,初级输入,power
C32,C,22uF+100uF,1206+电解,次级输出,power
U33,BUCK,TPS54331,SOP8,24→5V 3A,power
L33,L,10uH,PWR_IND_10uH,Buck 电感,power
R33,R,30.1k,0603,FB 分压,power
R34,R,10k,0603,FB 分压,power
U34,LDO,AMS1117-3.3,SOT223,5→3.3V 0.8A,power
C36,C,10uF,TANT_A, LDO 输入,power
C37,C,10uF,TANT_A, LDO 输出,power
U1,MCU,STM32H743IIT6,LQFP176,400MHz 2MB Flash, mcu
Y1,XTAL,25MHz,4pad_2520,±10ppm HSE, mcu
Y2,XTAL,32.768kHz,2pad_3215,±20ppm LSE, mcu
U8,RESET_IC,IMP811T, SOT143,3.08V 监控推挽复位, mcu
BT1,BATT_HOLDER,CR1220,Holder,RTC 备份, mcu
SW1,TACT,6x6x5, tactile,手动复位, mcu
U2A,ISO_CAN,ISO1042,SOIC16,隔离 CAN-FD, iface
U2B,ISO_CAN,ISO1042,SOIC16,隔离 CAN-FD, iface
U40,U41,ISO_5V,B0505S,SIP4,5V→5V 隔离 1W, iface
U3A,ISO_RS485,ADM2483,SOIC16,隔离 RS485, iface
U3B,ISO_RS485,ADM2483,SOIC16,隔离 RS485, iface
U42,U43,ISO_5V,B0505S,SIP4,5V→5V 隔离 1W, iface
D_CAN1,D_CAN2,TVS,SM712,SOT23-6,±15kV ESD 总线, iface
D_RS1,D_RS2,TVS,SM712,SOT23-6,±15kV ESD 总线, iface
U4,PHY,LAN8742A,QFN24,10/100 RMII, iface
J14,RJ45,HR911105A,RJ45_mag,带磁芯 1500V 隔离, iface
D_ETH,TVS,SM712,SOT23-6,网口 ESD, iface
J2,J3,CONN_M12,M12-4,隔离 CAN 连接器, iface
J4,J5,CONN_M12,M12-4,隔离 RS485 连接器, iface
U5,WIFI,WS63,模组,WiFi/星闪/BLE SDIO+UART, iface
U6,FRAM,FM24CL64,SOIC8,64Kb I2C 干扰点库, iface
U7,EEPROM,24C64,SOIC8,64Kb 标定/密钥, iface
J6,CONN_SWD,1.27_5P,SWD 调试, iface
J13,HEADER,2x10 2.54,扩展排针, iface
U9,OPT0,TLP281,SOIC4,安全心跳光耦, safety
Q11,N-MOS,AO3400,SOT23,使能 FET, safety
K1,RELAY,安全继电器/SSR,Power_Relay,伺服使能直切, safety
LED1..5,LED,0603 红/绿,0603,状态指示, misc
BUZ1,BUZZER,5V 有源,SMD,蜂鸣器, misc
